,xup,zup,xlow,zlow
0,0.0,0.0,0.0,0.0
1,0.459,0.542,0.541,-0.442
2,0.704,0.664,0.796,-0.524
3,1.198,0.859,1.302,-0.645
4,2.44,1.208,2.56,-0.836
5,4.934,1.719,5.066,-1.087
6,7.432,2.115,7.568,-1.267
7,9.933,2.444,10.067,-1.41
8,14.937,2.97,15.063,-1.624
9,19.943,3.367,20.057,-1.775
10,24.952,3.667,25.048,-1.877
11,29.961,3.879,30.039,-1.935
12,34.971,4.011,35.029,-1.951
13,39.981,4.066,40.019,-1.924
14,44.991,4.014,45.009,-1.824
15,50.0,3.878,50.0,-1.672
16,55.008,3.67,54.992,-1.48
17,60.015,3.402,59.985,-1.26
18,65.02,3.08,64.98,-1.02
19,70.023,2.712,69.977,-0.768
20,75.025,2.307,74.975,-0.517
21,80.024,1.868,79.976,-0.276
22,85.02,1.41,84.98,-0.064
23,90.015,0.94,89.985,0.094
24,95.007,0.473,94.993,0.159
25,100.0,0.0,100.0,0.0
