,Unnamed: 0,xup,zup,xlow,zlow
0,0.0,0.0,0.0,0.0,0.0
1,0.05952166028866134,0.02732044207249556,0.026928831282516233,0.03220121821616579,-0.02196041222670143
2,0.11904332057732268,0.04190324884321758,0.03299030253061029,0.04737924158977443,-0.026034515852469572
3,0.17856498086598402,0.07130694902581629,0.04267871968944916,0.07749720169583707,-0.03204630291000548
4,0.23808664115464537,0.14523285110433368,0.06001850219424282,0.15237545033897304,-0.04153598330661175
5,0.2976083014433067,0.2936798718642551,0.08540712356945647,0.30153673102235834,-0.054006715136706906
6,0.35712996173196804,0.44236497926533114,0.10508206303048309,0.45045992506458904,-0.06294986943717355
7,0.4166516220206294,0.5912286516472731,0.12142816172411378,0.5992045541259537,-0.07005470868698872
8,0.47617328230929074,0.8890750397317344,0.14756204595769964,0.8965747689281058,-0.0806871254664324
9,0.535694942597952,1.1870404711367732,0.1672866696092844,1.1938259404096805,-0.08818943824071275
10,0.5952166028866134,1.485184467522678,0.18219192677672882,1.4908985469103893,-0.09325722567764386
11,0.6547382631752747,1.7833284639085825,0.1927249751750562,1.7879711534110982,-0.09613890873001645
12,0.7142599234639361,2.0815319819547757,0.19928328832873177,2.0849842382515185,-0.09693385577894681
13,0.7737815837525974,2.3797355000009692,0.2020159188094299,2.3819973230919382,-0.09559238263387682
14,0.8333032440412588,2.6779390180471623,0.1994323409004062,2.6790104079323585,-0.09062396357806202
15,0.8928249043299201,2.976083014433067,0.19267529098449807,2.976083014433067,-0.0830719666132235
16,0.9523465646185815,3.274167489158683,0.18234097934840326,3.2732151425940645,-0.07353260202605909
17,1.0118682249072428,3.5721924422240106,0.1690256162788196,3.5704067924153504,-0.06260208010326652
18,1.071389885195904,3.8700983519687604,0.15302730691909594,3.8677174855572143,-0.050677874369310996
19,1.1309115454845655,4.167885218392933,0.13474352479369747,4.165147222019655,-0.03815745834865769
20,1.1904332057732268,4.465612563156817,0.1146214276176475,4.4626364801423835,-0.025686726518562533
21,1.2499548660618882,4.763161342939835,0.09281006796262053,4.760304303245979,-0.013712836594048858
22,1.3094765263505495,5.060531557741987,0.07005470868698872,5.058150691330441,-0.003179788195721474
23,1.368998186639211,5.35784225088385,0.04670313912465915,5.356056601075191,0.004670313912465915
24,1.4285198469278722,5.654974379044848,0.02350062213400402,5.654141075800807,0.007899786298745536
25,1.4880415072165336,5.952166028866134,0.0,5.952166028866134,0.0
